distancia_costa,elevacion,temperatura,lat,Lon,humedad,localidad,ID,cluster
0.07363627072545069,149.0,16.110423116569862,32.541,-116.97,0.0075456645977502405,GENERAL ABELARDO L RODRIGUEZ    ,760013,0
0.9189895037751808,22.6,24.949962293816036,32.631,-115.242,0.007946381312001859,GENERAL RODOLFO SANCHEZ TABOA   ,760053,0
0.6898605231498574,11.0,24.81438821031834,32.4,-115.183,0.010245200325204035,EJIDO NUEVO LEON BC.            ,760400,0
5.556492316813348,1167.0,23.25691451562702,31.633,-106.433,0.006878365261032002,CIUDAD INTL                     ,760751,1
5.56146561244545,1189.9,21.177866058598678,31.636,-106.429,0.0059074773412148155,ABRAHAM GONZALEZ INTL           ,760753,1
3.584688850909774,1487.0,17.422474939258457,30.367,-107.95,0.007038869896177191,NUEVA CASAS GRANDES   CHIH.     ,761220,1
0.8359962949901452,191.1,25.625191601440058,29.096,-111.048,0.009605939769788293,GENERAL IGNACIO P GARCIA INTL   ,761600,0
2.7907525972996052,1932.0,13.86980844717389,28.95,-107.817,0.007656152618274222,TEMOSACHIC  CHIH.               ,762200,1
3.8286584434352613,1433.0,19.218936236829478,28.633,-106.083,0.007342459437756243,CHIHUAHUA  CHIH.                ,762250,1
3.962422484519416,1354.0,22.52311721191095,28.7,-105.967,0.0070010486365245555,CHIHUAHUA INTL    &             ,762252,1
3.965735207551296,1360.0,20.20352822052615,28.703,-105.965,0.005021946639818337,GENERAL R FIERRO VILLALOBOS I   ,762253,1
4.316407223996704,274.6,22.875988224397197,28.627,-100.535,0.011691437094757057,PIEDRAS NEGRAS INTL             ,762430,1
0.3625146193819971,62.5,24.750727787221575,27.393,-109.833,0.012290471332408173,CIUDAD OBREGON INTL             ,762530,0
0.04926512875671117,18.0,23.481258888092622,27.969,-110.925,0.009983632208602192,GENERAL JOSE MARIA YANEZ INTL   ,762555,0
0.033822739972600435,12.0,25.10156294017752,27.95,-110.767,0.011363240183211207,EMPALME  SON.                   ,762560,0
0.4175529240646349,38.0,24.862341689363685,27.483,-109.917,0.011742600408263368,CIUDAD OBREGON  SON             ,762580,0
2.8453957901988396,147.5,25.45397969317771,27.444,-99.57,0.011535172933435506,QUETZALCOATL INTL               ,762863,0
0.009365832550007362,10.4,25.632230252048174,25.989,-111.348,0.011382864983342537,LORETO INTL                     ,763050,0
1.0104929712425161,238.0,25.451480491924112,26.733,-108.283,0.013670531341059711,CHOIX  SIN.                     ,763110,0
3.197906351573258,1661.0,19.095411567640003,26.933,-105.667,0.008742152368404572,HIDALGO DEL PARRAL   CHIH.      ,763230,1
4.388371465307566,568.1,23.231768864707348,26.956,-101.47,0.010241058113376616,MONCLOVA INTL                   ,763420,1
1.077575071554801,42.4,24.624143438006865,26.009,-98.229,0.012853261092603636,GENERAL LUCIO BLANCO INTL       ,763503,0
0.13567117960875424,4.9,28.916301527152864,25.685,-109.081,0.013742534474371793,VALLE DEL FUERTE INTL           ,763615,0
3.769742320510438,1124.1,22.560873566967597,25.568,-103.411,0.010228853654069621,TORREON INTL                    ,763820,1
3.44872018473049,1790.0,17.21199946663939,25.367,-101.017,0.009028049913948568,SALTILLO  COAH.                 ,763900,1
2.8554410005513495,515.0,22.86062374562461,25.733,-100.3,0.012063986662445876,MONTERREY  N.L.                 ,763930,1
2.686154347450938,389.5,22.6393220967492,25.778,-100.107,0.011239664368061267,GENERAL MARIANO ESCOBEDO INTL   ,763943,1
0.3498080964989435,7.6,25.301591018418108,25.77,-97.525,0.01492690968246567,GENERAL SERVANDO CANALES INTL   ,763993,0
0.5524047552368065,48.0,22.629437196826924,25,-111.633,0.011030710315027007,CIUDAD CONSTITUCION  BCS        ,764020,0
0.015398163763528712,18.0,25.329896660389544,24.167,-110.3,0.01188130347331919,LA PAZ  BCS                     ,764050,0
0.1001096404884913,21.0,26.38239524780024,24.073,-110.362,0.011071609983697788,GENERAL MANUEL MARQUEZ DE LEO   ,764055,0
0.10553279878374142,114.0,26.246641837198876,23.152,-109.721,0.010611935914791575,LOS CABOS INTL                  ,764056,0
0.3963694451307245,32.9,25.93462222665213,24.765,-107.475,0.013855421275440054,CULIACAN INTL                   ,764120,0
1.848212875674181,1872.0,18.338192174925286,24.05,-104.6,0.008896203705731279,DURANGO  DGO.                   ,764230,1
1.9514599381881017,1860.5,19.163944366211116,24.124,-104.528,0.00570680874284793,DURANGO INTL                    ,764235,1
0.010443592780734694,4.0,25.251111208185705,23.2,-106.417,0.01526136484625494,COLONIA JUAN CARRASCO MAZATLA   ,764580,0
0.0658847215846507,11.6,23.920475075407975,23.161,-106.266,0.013644657346728204,GENERAL RAFAEL BUELNA INTL      ,764593,0
2.371604825252413,2351.0,16.815882867328103,23.633,-103.65,0.008034001741986938,SOMBRERETE  ZAC.                ,764710,1
1.4283336438718088,336.0,24.008673009611936,23.742,-99.17,0.013880930298871398,CIUDAD VICTORIA   TAMPS.        ,764910,0
1.2123416755088046,232.0,25.381893630722875,23.704,-98.957,0.012497775035987632,GENERAL PEDRO JOSE MENDEZ INT   ,764915,0
0.4616212828972231,21.0,24.71415539739248,23.767,-98.2,0.01359539212947983,SOTO LA MARINA   TAMPS.         ,764990,0
3.0800001924862266,1839.5,18.122187003534,22.254,-100.931,0.009235247744716782,PONCIANO ARRIAGA INTL           ,765390,1
0.05786320265693516,25.0,24.863915343333932,22.2,-97.85,0.015561066630444008,TAMPICO  TAMPS                  ,765480,0
0.3463209562079475,920.5,22.118894254041535,21.419,-104.843,0.013423986253913344,TEPIC                           ,765560,0
