Column1,Column2,Column3,Column32,Column33,Column4,Column5
222490-99999 ,KANEVKA                         ,67.133,39.667,151,01/01/1955,01/02/2023
222690-99999 ,MYS KONUSIN                     ,67.15,43.9,13,01/01/1959,28/07/2001
222710-99999 ,SHOJNA                          ,67.883,44.15,18,01/01/1959,01/02/2023
222820-99999 ,MYS MIKULKIN                    ,67.8,46.667,6,16/02/1953,31/12/1997
222920-99999 ,INDIGA                          ,67.683,48.683,4,01/01/1959,01/02/2023
223240-99999 ,UMBA                            ,66.683,34.35,40,01/01/1959,01/02/2023
223340-99999 ,KASHKARANTSY                    ,66.333,36.017,3.5,01/01/1932,01/02/2023
223490-99999 ,PJALICA                         ,66.183,39.533,9,01/01/1937,01/02/2023
223610-99999 ,MORZHOVEC                       ,66.717,42.483,16.2,02/01/1959,31/12/1997
223650-99999 ,ABRAMOVSKIJ MAJAK               ,66.383,43.25,21,01/01/1959,01/02/2023
223830-99999 ,NIZHNYAYA PESHA                 ,66.739,47.72,11.5,01/01/1959,01/02/2023
224030-99999 ,KESTEN'GA                       ,65.883,31.833,129,01/01/1959,08/09/2001
224080-99999 ,KALEVALA                        ,65.217,31.167,120,01/09/1946,01/02/2023
224220-99999 ,GRIDINO                         ,65.9,34.767,12,02/01/1946,31/12/1997
224290-99999 ,SOLOVKI                         ,65.033,35.7,7.4,01/01/1959,01/02/2023
224380-99999 ,ZIZGIN                          ,65.2,36.817,17,01/07/1955,01/02/2023
224460-99999 ,ZIMNEGORSKIJ MAJAK              ,65.467,39.733,77,01/01/1959,01/02/2023
224560-99999 ,KEPINO                          ,65.383,41.883,68.6,01/01/1959,01/02/2023
224710-99999 ,MEZEN'                          ,65.867,44.217,19,01/01/1932,01/02/2023
224810-99999 ,MOSEEVO                         ,65.767,46.2,42.2,01/01/1959,01/02/2023
225200-99999 ,KEM' PORT                       ,64.983,34.8,8,21/11/2006,01/02/2023
225220-99999 ,KEM'                            ,64.95,34.65,8,01/01/1932,31/12/1997
225250-99999 ,RAZNAVOLOK                      ,64.567,34.917,9,06/03/1948,01/02/2023
225460-99999 ,SEVERODVINSK                    ,64.55,39.767,7.9,01/01/1959,01/02/2023
225500-99999 ,TALAGI                          ,64.6,40.717,18.9,04/01/1931,01/02/2023
225510-99999 ,MUD'JUG                         ,64.85,40.283,3,01/01/1959,01/02/2023
225590-99999 ,HOLMOGORY                       ,64.217,41.667,12,01/01/1959,01/02/2023
225630-99999 ,PINEGA                          ,64.7,43.383,31,02/01/1946,01/02/2023
225730-99999 ,LESUKONSKOE                     ,64.9,45.767,71,01/01/1959,01/02/2023
225830-99999 ,KOJNAS                          ,64.75,47.65,64,01/01/1932,01/02/2023
226020-99999 ,REBOLY                          ,63.833,30.817,182,01/02/1946,01/02/2023
226210-99999 ,SEGEZA                          ,63.767,34.283,112,09/01/1946,01/02/2023
226410-99999 ,ONEGA                           ,63.9,38.117,13,07/03/1946,01/02/2023
226480-99999 ,TURCASOVO                       ,63.117,39.233,34,01/01/1959,01/02/2023
226560-99999 ,EMECK                           ,63.483,41.8,18,01/01/1959,01/02/2023
226570-99999 ,EMCA                            ,63.067,40.35,108,01/01/1946,08/10/1988
226710-99999 ,KARPOGORY                       ,64.017,44.45,65.1,01/01/1959,01/02/2023
226760-99999 ,SURA                            ,63.583,45.633,62,31/12/1936,01/02/2023
226950-99999 ,KOSLAN                          ,63.45,48.9,158,01/01/1959,01/02/2023
227210-99999 ,MEDVEZEGORSK                    ,62.917,34.433,81,01/01/1948,01/02/2023
227490-99999 ,KONEVO                          ,62.133,39.3,101.3,01/01/1959,01/02/2023
227620-99999 ,DVINSKIJ BEREZNIK               ,62.817,42.783,34,01/01/1959,01/02/2023
227680-99999 ,SHENKURSK                       ,62.1,42.9,45,01/01/1932,01/02/2023
227780-99999 ,VERHNJAJA TOJMA                 ,62.233,45.017,58,01/01/1959,01/02/2023
227980-99999 ,JARENSK                         ,62.167,49.117,92,01/01/1948,01/02/2023
228020-99999 ,SORTAVALA                       ,61.717,30.717,19,01/01/1917,01/02/2023
228200-99999 ,PETROZAVODSK                    ,61.817,34.267,110,01/01/1932,01/02/2023
228310-99999 ,PUDOZ                           ,61.8,36.583,44,02/10/1947,01/02/2023
228370-99999 ,VYTEGRA                         ,61.017,36.45,56,12/01/1932,01/02/2023
228450-99999 ,KARGOPOL'                       ,61.5,38.933,126,01/01/1959,01/02/2023
228540-99999 ,NJANDOMA                        ,61.667,40.183,233,31/12/1936,01/02/2023
228670-99999 ,VEL'SK                          ,61.083,42.067,91,01/01/1932,01/02/2023
228870-99999 ,KOTLAS                          ,61.233,46.717,56,04/01/1948,01/02/2023
228920-99999 ,VYBORG                          ,60.717,28.733,13,01/01/1906,01/02/2023
229390-99999 ,BELOZERSK                       ,60.017,37.75,131,01/01/1932,01/02/2023
229540-99999 ,VOZEGA                          ,60.467,40.2,202,01/01/1948,01/02/2023
229960-99999 ,OB'JACEVO                       ,60.367,49.65,152,01/01/1959,01/02/2023
230220-99999 ,AMADERMA                        ,69.75,61.7,49,01/01/1948,01/02/2023
230240-99999 ,CAPE BELY                       ,69.483,60.333,6,05/04/1959,31/12/1997
230320-99999 ,MARESALE                        ,69.717,66.8,25,01/01/1932,01/02/2023
230580-99999 ,ANTIPAJUTA                      ,69.083,76.85,3,11/02/1960,01/02/2023
230740-99999 ,DUDINKA                         ,69.4,86.167,19,01/01/1948,31/12/1997
230780-99999 ,NORIL'SK                        ,69.333,88.25,64,01/10/1975,01/02/2023
231050-99999 ,TOBSEDA                         ,68.6,52.333,6,01/01/1959,02/02/2005
231140-99999 ,MYS KONSTANTINOVSKIJ            ,68.533,55.5,6.7,01/01/1959,01/02/2023
231460-99999 ,CAPE KAMENNYJ                   ,68.5,73.583,5,05/03/1955,28/08/1994
231740-99999 ,POTAPOVO                        ,68.667,86.25,41,30/08/1957,01/02/2023
231790-99999 ,SNEZHNOGORSK                    ,68.1,87.767,93.8,01/01/1973,01/02/2023
232050-99999 ,NAR'JAN-MAR                     ,67.633,53.033,12,01/01/1932,01/02/2023
232190-99999 ,HOSEDA-HARD                     ,67.033,59.4,83,01/01/1948,31/12/1997
232204-99999 ,ROSCHINO                        ,57.19,65.324,115.2,06/07/2004,01/02/2023
232260-99999 ,VORKUTA                         ,67.483,64.017,172,16/02/1953,01/02/2023
232420-99999 ,NOVYJ PORT                      ,67.683,72.883,12,01/01/1932,01/02/2023
232560-99999 ,TAZOVSKIJ                       ,67.467,78.733,8,01/01/1948,31/01/2023
232740-99999 ,IGARKA                          ,67.467,86.567,28,01/01/1948,01/02/2023
233050-99999 ,OKUNEV NOS                      ,66.25,52.55,22,04/03/1948,01/02/2023
233240-99999 ,PETRUN'                         ,66.433,60.767,62,01/01/1959,01/02/2023
233300-99999 ,SALEHARD                        ,66.533,66.667,16,01/01/1932,31/01/2023
233310-99999 ,RA-IZ                           ,66.9,65.667,890,16/02/1953,31/12/1997
233330-99999 ,JAMBUR                          ,66.8,68.883,32,01/01/1956,30/12/1997
233390-99999 ,POLUJ                           ,66.033,68.683,35.9,17/05/1974,01/02/2023
233410-99999 ,JAR-SALE                        ,66.833,70.833,8,02/07/1957,28/03/1998
233450-99999 ,NYDA                            ,66.633,72.933,7,01/07/1957,31/01/2023
233650-99999 ,SIDOROVSK                       ,66.6,82.5,34,03/01/1959,31/12/1994
233750-99999 ,KUREJKA RIVER                   ,66.417,87.2,27,01/01/1959,15/07/2007
233830-99999 ,AGATA                           ,66.883,93.467,278,02/07/1957,01/02/2023
234050-99999 ,UST'-CIL'MA                     ,65.433,52.267,68,01/01/1932,01/02/2023
234120-99999 ,UST'-USA                        ,65.967,56.917,78,04/01/1948,01/02/2023
234180-99999 ,PECHORA                         ,65.133,57.133,53.2,03/08/1957,01/02/2023
234260-99999 ,MUZHI                           ,65.483,64.717,19,16/02/1953,31/01/2023
234310-99999 ,PITLYAR                         ,65.833,65.933,16.5,16/02/1953,31/01/2023
234450-99999 ,NADYM                           ,65.467,72.667,19,01/01/1956,31/01/2023
234630-99999 ,YANOV-STAN                      ,65.983,84.328,40,10/07/1957,03/07/2017
234650-99999 ,KRASNOSEL' KUPSK                ,65.7,82.45,24.7,02/10/1963,31/01/2023
234710-99999 ,NIZHNEVARTOVSK                  ,60.949,76.484,53.9,01/01/1969,01/02/2023
234720-99999 ,TURUHANSK                       ,65.783,87.989,38,06/01/1932,01/02/2023
234840-99999 ,BOLSOJ POROG                    ,65.633,90.017,65,01/01/1959,23/10/2006
234990-99999 ,TEMBENCHI                       ,64.933,98.867,203,22/07/1957,08/03/2011
235030-99999 ,IZHMA                           ,65.033,53.967,52,01/01/1959,01/02/2023
235270-99999 ,SARAN-PAUL'                     ,64.283,60.883,29,16/02/1953,01/02/2023
235520-99999 ,TARKO-SALE                      ,64.917,77.817,27,01/07/1957,31/01/2023
235780-99999 ,VERESHCHAGINO                   ,64.233,87.567,30,15/07/1957,01/02/2023
235890-99999 ,TUTONCHANY                      ,64.2,93.783,105,03/05/1969,01/02/2023
236060-99999 ,UHTA                            ,63.55,53.817,137,16/02/1953,01/02/2023
236250-99999 ,SOSVA                           ,63.65,62.1,28,20/02/1953,31/01/2023
236280-99999 ,SARTINYA                        ,63.367,63.067,50,01/01/1973,06/07/2001
236290-99999 ,IGRIM                           ,63.2,64.483,28,01/01/1956,02/09/1997
236310-99999 ,BEREZOVO                        ,63.933,65.05,32,01/01/1932,31/01/2023
236320-99999 ,KISLOR WEST                     ,63.717,66.7,61,16/02/1953,12/03/1997
236350-99999 ,YUIL' SK                        ,63.667,69.6,85.8,01/01/1969,01/02/2023
236440-99999 ,NUMTO                           ,63.5,71.333,109,01/01/1959,20/07/1991
236560-99999 ,HALESOVAYA                      ,63.383,78.317,67.1,05/02/1960,31/01/2023
236620-99999 ,TOL'KA                          ,63.983,82.083,33,01/01/1959,01/02/2023
236780-99999 ,VERHNEIMBATSK                   ,63.15,87.95,46,07/01/1932,01/02/2023
236910-99999 ,UCAMI                           ,63.833,96.65,105,10/07/1957,07/08/2002
236990-99999 ,KERBO                           ,62.717,101.117,230.4,10/07/1957,01/02/2023
237010-99999 ,VESLJANA                        ,62.983,50.9,103,16/02/1953,01/02/2023
237110-99999 ,TROICKO-PECHERSKOE              ,62.7,56.2,139,01/01/1932,01/02/2023
237240-99999 ,NJAKSIMVOL'                     ,62.433,60.867,51,16/02/1953,31/01/2023
237340-99999 ,OKTJABR'SKOE                    ,62.45,66.05,72,01/01/1948,31/01/2023
237450-99999 ,KOCEVJE                         ,62.467,73.117,80,01/01/1973,27/09/1994
237480-99999 ,KOGALYM                         ,62.19,74.534,67.1,01/12/1988,01/02/2023
237740-99999 ,KELLOG                          ,62.483,86.283,60.4,10/07/1957,01/02/2023
237760-99999 ,BAHTA                           ,62.467,89.017,57.1,01/01/1959,01/02/2023
237880-99999 ,KUZ' MOVKA                      ,62.317,92.117,62,28/07/1957,01/02/2023
237890-99999 ,POLIGUS                         ,61.967,94.667,140,01/12/1959,12/01/2007
238030-99999 ,UST'-KULOM                      ,61.683,53.683,144,01/01/1948,01/02/2023
238040-99999 ,SYKTYVKAR                       ,61.647,50.845,98.8,01/01/1932,01/02/2023
238120-99999 ,JAKSHA                          ,61.833,56.867,131,01/01/1959,01/02/2023
238230-99999 ,VONEGAN                         ,61.95,64.9,111.4,08/01/1970,31/01/2023
238380-99999 ,BECAME STN 238281               ,61.05,68.633,28,03/05/1969,18/06/1989
238410-99999 ,GORSKOVA                        ,61.7,70.667,46,01/07/1957,03/03/2000
238430-99999 ,YERMAKOVO                       ,61.8,74.083,48,01/07/1957,23/05/1989
238470-99999 ,SYTOMINO                        ,61.3,71.3,33.4,16/02/1953,31/01/2023
238490-99999 ,SURGUT                          ,61.344,73.402,61,01/01/1932,01/02/2023
238590-99999 ,LOBCHINSKIYE                    ,60.95,78.617,49,05/01/1959,27/12/1986
238620-99999 ,KORLIKI                         ,61.533,82.417,71,31/03/1969,01/02/2023
238670-99999 ,LAR' YAK                        ,61.1,80.25,57,10/07/1957,31/01/2023
238840-99999 ,BOR                             ,61.6,90.017,58,16/02/1953,01/02/2023
238910-99999 ,BAJKIT                          ,61.667,96.367,262,01/07/1957,01/02/2023
239040-99999 ,KAZIM                           ,60.333,51.55,126,01/08/1959,25/11/1997
239090-99999 ,GAJNY                           ,60.283,54.35,198,16/02/1953,01/02/2023
239140-99999 ,CHERDYN'                        ,60.4,56.517,207,01/01/1932,01/02/2023
239210-99999 ,IVDEL'                          ,60.683,60.45,95,01/01/1948,01/02/2023
239230-99999 ,SUPRA                           ,60.867,64.9,81,31/03/1969,14/08/1997
239290-99999 ,SAIM                            ,60.317,64.217,53,16/02/1953,31/01/2023
239330-99999 ,KHANTY MANSIYSK                 ,61.028,69.086,23.2,01/01/1932,01/02/2023
239390-99999 ,ALTAY                           ,60.333,68.967,32.3,25/02/1953,31/01/2023
239460-99999 ,UGUT                            ,60.5,74.017,48.1,16/02/1953,31/01/2023
239550-99999 ,ALEKSANDROVSKOE                 ,60.433,77.867,48,04/01/1948,01/02/2023
239660-99999 ,VANZIL'-KYNAK                   ,60.35,84.083,99,16/02/1953,01/02/2023
239730-99999 ,VOROGOVO                        ,61.033,89.633,49,16/02/1953,01/02/2023
239750-99999 ,SYM                             ,60.35,88.367,86,16/02/1953,01/02/2023
239820-99999 ,VEL'MO                          ,61.017,93.433,121.8,10/07/1957,01/02/2023
239860-99999 ,SEVERO-ENISEJSK                 ,60.367,93.033,511,22/07/1957,01/02/2023
239870-99999 ,JARCEVO                         ,60.25,90.233,58,01/01/1948,01/02/2023
239920-99999 ,UST'-KAMO                       ,60.717,97.517,178,31/07/1957,01/02/2023
240510-99999 ,SIKTJAH                         ,69.917,125.167,38,01/01/1969,18/02/1994
240710-99999 ,JANGKI-IN-YAKUT                 ,69.767,135.067,49,01/01/1969,27/06/2002
241050-99999 ,ESSEJ                           ,68.467,102.367,271,01/07/1957,24/05/2004
241250-99999 ,OLENEK                          ,68.5,112.433,220,01/01/1962,01/02/2023
241360-99999 ,SUHANA                          ,68.617,118.333,77,01/01/1959,01/02/2023
241430-99999 ,DZARDZAN                        ,68.733,124,39,01/01/1948,01/02/2023
241660-99999 ,JANSK                           ,68.45,134.8,103,02/01/1959,24/06/2001
241970-99999 ,DRUZINA                         ,68.233,145.3,152,01/01/1959,26/02/1993
242190-99999 ,YAROL'IN                        ,67.133,108.533,235.8,01/01/1959,01/02/2023
242660-99999 ,VERHOJANSK                      ,67.567,133.4,138,01/01/1948,01/02/2023
243220-99999 ,POLIARNY                        ,66.4,112.03,506,03/04/1976,01/02/2023
243290-99999 ,SHELAGONTSY                     ,66.25,114.283,236,01/07/1957,01/02/2023
243430-99999 ,ZHIGANSK                        ,66.767,123.4,92,03/01/1948,01/02/2023
243710-99999 ,UST'-CHARKI                     ,66.8,136.683,273.8,01/01/1959,01/02/2023
243960-99999 ,ARGA                            ,66.5,149.783,40,01/01/1959,12/12/1993
244490-99999 ,BESTYAHSKAYA ZVEROFERMA         ,65.3,127.117,73.3,01/01/1959,01/02/2023
244770-99999 ,IEMA                            ,65.3,135.8,674.9,01/01/1959,01/02/2023
245070-99999 ,TURA                            ,64.267,100.233,168,01/01/1937,01/02/2023
245380-99999 ,CHUMPURUK                       ,64.233,116.917,139.1,01/01/1959,01/02/2023
245570-99999 ,SOGO-HAYA                       ,64.283,126.45,85,01/01/1959,01/02/2023
245610-99999 ,SYURYUN-KYUYEL'                 ,65,130.683,737,02/07/1957,27/06/1988
245850-99999 ,NERA                            ,64.55,144.4,518.5,01/01/1959,01/02/2023
245980-99999 ,DARPIR                          ,64.167,148.033,841,01/01/1959,20/09/1995
246290-99999 ,SYULDYUKAR                      ,63.217,113.633,163,01/07/1957,29/08/2005
246390-99999 ,NJURBA                          ,63.283,118.333,119,03/09/1934,01/02/2023
246410-99999 ,VILJUJSK                        ,63.767,121.617,111,01/01/1937,01/02/2023
246430-99999 ,HATYAYK-HOMO                    ,63.95,124.833,76.5,01/01/1959,01/02/2023
246520-99999 ,SANGARY                         ,63.967,127.467,96,01/01/1948,01/02/2023
246560-99999 ,BATAMAJ                         ,63.517,129.483,79,01/01/1948,01/02/2023
246610-99999 ,SEGEN-KYUEL'                    ,64,130.3,208,01/01/1959,01/02/2023
246680-99999 ,VERHOJANSK PEREVOZ              ,63.317,132.017,90.9,01/01/1959,01/02/2023
246710-99999 ,TOMPO                           ,63.95,135.867,402,01/01/1959,01/02/2023
246790-99999 ,VOSTOCHNAYA                     ,63.217,139.6,1287.9,01/01/1959,01/02/2023
246880-99999 ,OJMJAKON                        ,63.25,143.15,741,01/01/1948,01/02/2023
246910-99999 ,DELYANKIR                       ,63.833,145.6,800.9,01/01/1959,01/02/2023
247130-99999 ,NAKANNO                         ,62.883,108.433,246,01/07/1955,31/12/1997
247240-99999 ,CHERNISHEVSKIJ                  ,63.033,112.483,422,01/01/1948,01/02/2023
247260-99999 ,MIRNY                           ,62.535,114.039,352,01/07/1961,01/02/2023
247380-99999 ,SUNTAR                          ,62.15,117.65,133,02/12/1933,01/02/2023
247390-99999 ,CHAINGDA                        ,62.283,119.85,308.2,01/01/1959,15/04/2015
247680-99999 ,CURAPCA                         ,62.033,132.6,186,01/01/1948,01/02/2023
247710-99999 ,TEPLY KLJUCH                    ,62.783,136.85,288.6,01/01/1959,01/02/2023
247900-99999 ,SUSUMAN                         ,62.783,148.167,655,01/09/1959,01/02/2023
248170-99999 ,ERBOGACEN                       ,61.267,108.017,291,02/01/1937,01/02/2023
248260-99999 ,DOROZHNYJ                       ,61.617,114.617,353.7,01/01/1959,01/02/2023
248430-99999 ,TONGULAH                        ,61.917,124.55,199.1,01/01/1959,01/02/2023
248560-99999 ,POKROVSK                        ,61.483,129.15,115,01/01/1948,01/02/2023
248710-99999 ,OHOTSKIJPEREVOZ                 ,61.867,135.5,140.6,01/01/1959,01/02/2023
248780-99999 ,ALLAH-JUN                       ,61.133,137.983,613,01/01/1959,10/09/1996
248980-99999 ,UST' OMCHUG                     ,61.117,149.633,574.5,01/01/1959,01/02/2023
249080-99999 ,VANAVARA                        ,60.333,102.267,260,01/07/1957,01/02/2023
249180-99999 ,PREOBRAZHENKA                   ,60.05,108.083,295.2,01/07/1957,01/02/2023
249230-99999 ,LENSK                           ,60.717,114.883,234,01/01/1948,01/02/2023
249440-99999 ,OLEKMINSK                       ,60.4,120.417,229.6,31/12/1931,01/02/2023
249460-99999 ,SANI-YAKHTAT                    ,60.6,124.033,139,01/01/1959,19/09/1989
249510-99999 ,ISIT'                           ,60.817,125.317,118,02/12/1933,01/02/2023
249590-99999 ,JAKUTSK                         ,62.017,129.717,101,31/12/1931,01/02/2023
249620-99999 ,AMGA                            ,60.9,131.983,146,01/01/1948,01/02/2023
249660-99999 ,UST'-MAJYA                      ,60.383,134.45,170,09/12/1933,01/02/2023
249670-99999 ,TEGYULTYA                       ,60.467,130,171,01/01/1959,01/02/2023
249820-99999 ,UEGA                            ,60.717,142.783,398,22/11/1954,01/02/2023
249880-99999 ,ARKA                            ,60.083,142.333,198,01/01/1948,01/02/2023
250510-99999 ,PEVEK                           ,69.783,170.597,3.4,05/03/1955,01/02/2023
251230-99999 ,CHERSKIJ                        ,68.75,161.283,28,05/03/1955,01/02/2023
251380-99999 ,OSTROVNOE                       ,68.117,164.167,94,01/01/1959,01/02/2023
251510-99999 ,CHAUN                           ,68.883,170.783,4.7,01/01/1959,01/02/2023
251730-99999 ,MYS SHMIDTA                     ,68.9,-179.633,3,03/12/1933,31/12/1997
252060-99999 ,CREDNEKOLYMSK                   ,67.45,153.717,21,01/01/1959,01/02/2023
252480-99999 ,ILIRNEJ                         ,67.25,167.967,353,01/01/1959,01/02/2023
253250-99999 ,UST'-OLOJ                       ,66.55,159.417,127,01/01/1959,31/12/1997
253350-99999 ,BAIMKA                          ,66.533,164.283,286.3,31/03/1969,01/02/2023
253560-99999 ,EN' MUVEEM                      ,66.383,173.333,77,01/01/1959,01/02/2023
253720-99999 ,AMGUJEMA                        ,67.033,-178.917,138,01/01/1959,30/08/2002
253780-99999 ,EGVEKINOT                       ,66.35,-179.117,26,01/01/1946,01/02/2023
253990-99999 ,MYS UELEN                       ,66.15,-169.833,3,03/12/1933,01/02/2023
254000-99999 ,ZYRYANKA                        ,65.733,150.9,43,01/01/1946,01/02/2023
254280-99999 ,OMOLON                          ,65.233,160.533,264,01/01/1959,01/02/2023
254690-99999 ,KANCHALAN                       ,65.183,176.767,18.5,01/01/1959,01/02/2023
255030-99999 ,KORKODON                        ,64.75,153.967,98,01/01/1959,01/02/2023
255380-99999 ,VERHNEE PENZINO                 ,64.217,164.233,326,01/01/1959,31/12/1997
255510-99999 ,MARKOVO                         ,64.683,170.417,26,02/01/1946,01/02/2023
255630-99999 ,UGOLNY                          ,64.735,177.741,59.1,01/12/1933,01/02/2023
255940-99999 ,PROVIDENIYA BAY                 ,64.378,-173.243,21.9,02/05/1947,01/02/2023
256210-99999 ,KEDON                           ,64,158.917,683,01/01/1959,31/12/1997
256270-99999 ,LABAZNAYA                       ,63.3,158.5,709,01/01/1959,01/02/2023
256560-99999 ,BEREZOVO                        ,63.417,172.717,200,01/01/1959,21/02/2000
256770-99999 ,BERINGOVSKAJA                   ,63.017,179.283,82,05/03/1955,12/11/2014
257000-99999 ,EL' GEN (SOVHOZ)                ,62.8,150.667,312.4,01/01/1959,01/02/2023
257030-99999 ,SEJMCHAN                        ,62.917,152.417,205,01/01/1959,01/02/2023
257050-99999 ,SREDNIKAN                       ,62.45,152.317,260,01/01/1959,01/02/2023
257150-99999 ,OMSUKCHAN                       ,62.517,155.8,499.8,01/01/1959,01/02/2023
257440-99999 ,KAMENSKOE                       ,62.433,166.083,10,01/05/1955,31/12/1997
258080-99999 ,TALATA                          ,61.133,152.383,707.5,01/02/1959,01/02/2023
258160-99999 ,PESTRAYA DRESVA                 ,61.533,156.7,7,01/01/1959,09/10/1988
258210-99999 ,NAJAHAN                         ,61.917,158.983,23,12/02/1937,28/04/2002
259020-99999 ,ATKA                            ,60.85,151.767,901,01/01/1959,02/10/2004
259040-99999 ,MADAUN                          ,60.6,150.7,521.9,01/01/1959,01/02/2023
259130-99999 ,SOKOL                           ,59.911,150.72,175,31/12/1945,01/02/2023
259190-99999 ,BRAT' EV (MYS)                  ,59.1,153.333,12.9,08/06/1963,01/02/2023
259220-99999 ,SHELIHOVA                       ,60.717,155.883,33.3,01/12/1961,01/02/2023
259270-99999 ,BROHOVO                         ,59.65,154.267,5,01/01/1959,01/02/2023
259320-99999 ,TAJGONOS                        ,60.683,160.4,30,01/01/1959,17/09/2013
259410-99999 ,CHEMURNAUT                      ,60.733,163.017,14,01/05/1955,01/02/2023
259540-99999 ,KORF                            ,61.35,166,3.6,01/01/1937,31/12/1997
259560-99999 ,APUKA                           ,60.433,169.667,5,16/02/1953,01/02/2023
260290-99999 ,PAKRI                           ,59.383,24.033,26,23/12/1959,01/02/2023
260380-99999 ,TALLINN                         ,59.413,24.833,39.9,16/02/1953,01/02/2023
260450-99999 ,KUNDA                           ,59.517,26.55,3,01/01/1959,01/02/2023
260460-99999 ,JOHVI                           ,59.333,27.383,75,01/01/1959,01/02/2023
260580-99999 ,NARVA-JOESUU                    ,59.389,28.117,29.9,01/01/1959,01/02/2023
260590-99999 ,KINGISEPP                       ,59.367,28.6,19,01/01/1948,01/02/2023
260630-99999 ,PULKOVO                         ,59.8,30.263,24.1,01/04/1931,01/02/2023
260635-99999 ,SMOLNAYA                        ,59.983,30.583,18,01/01/1973,15/03/1989
260780-99999 ,LJUBAN'                         ,59.35,31.233,39,01/01/1948,01/02/2023
260940-99999 ,TIHVIN                          ,59.65,33.55,61,01/01/1932,01/02/2023
261148-99999 ,MINSK 2                         ,53.882,28.031,204.2,14/01/1999,01/02/2023
261150-99999 ,RISTNA                          ,58.917,22.067,9,01/01/1955,01/02/2023
261160-99999 ,KARDLA                          ,58.991,22.831,5.5,01/01/1959,01/02/2023
261161-99999 ,KURESSAARE                      ,58.217,22.5,4,10/05/2004,01/02/2023
261240-99999 ,LAANE-NIGULA                    ,58.95,23.817,25,01/01/1959,01/02/2023
261280-99999 ,VIRTSU                          ,58.567,23.517,3,02/01/1959,01/02/2023
261340-99999 ,KUUSIKU                         ,58.967,24.733,52,01/01/1969,01/02/2023
261350-99999 ,TURI                            ,58.817,25.417,65,01/01/1955,01/02/2023
261410-99999 ,VALKE-MAARJA                    ,59.133,26.233,123,11/12/1962,01/02/2023
261440-99999 ,JOGEVA                          ,58.75,26.417,71,19/09/2001,01/02/2023
261670-99999 ,NIKOLAEVSKOE                    ,58.567,29.8,91,01/03/1955,01/02/2023
262140-99999 ,VILSANDI                        ,58.383,21.817,6,01/01/1959,01/02/2023
262180-99999 ,SORVE                           ,57.917,22.05,4,01/01/1973,01/02/2023
262260-99999 ,KIHNU                           ,58.1,23.967,4,01/01/1959,01/02/2023
262270-99999 ,RUHNU                           ,57.783,23.25,2,10/11/1961,01/02/2023
262290-99999 ,AINAZI                          ,57.867,24.367,5,01/01/1955,01/02/2023
262310-99999 ,PJARNU-SAUGA                    ,58.417,24.467,8,01/01/1948,31/12/1997
262330-99999 ,VILJANDI                        ,58.367,25.6,86,01/01/1959,01/02/2023
262420-99999 ,TARTU                           ,58.307,26.69,66.8,01/01/1948,01/02/2023
262470-99999 ,VALGA                           ,57.783,26.033,66,01/01/1959,01/02/2023
262490-99999 ,VORU                            ,57.85,27.017,83,01/01/1959,01/02/2023
262580-99999 ,PSKOV                           ,57.784,28.396,46.9,16/02/1953,01/02/2023
262750-99999 ,STARAYA RUSSA                   ,58.017,31.317,25,01/01/1955,01/02/2023
262980-99999 ,BOLOGOE                         ,57.9,34.03,188,07/08/1959,01/02/2023
263130-99999 ,KOLKA                           ,57.75,22.6,5,01/01/1955,01/02/2023
263240-99999 ,MERSRAGS                        ,57.35,23.117,6,01/01/1959,01/02/2023
263480-99999 ,GULBENE                         ,57.133,26.717,143,01/01/1948,01/02/2023
263590-99999 ,PUSKINSKIE GORY                 ,57.017,28.9,108,01/01/1959,01/02/2023
263780-99999 ,HOLM                            ,57.15,31.183,71,07/03/1946,01/02/2023
263890-99999 ,OSTASKOV                        ,57.133,33.117,218,02/01/1959,01/02/2023
264030-99999 ,PAVILOSTA                       ,56.883,21.183,10,01/01/1959,01/02/2023
264050-99999 ,VENTSPILS                       ,57.35,21.533,6,05/09/2004,01/02/2023
264060-99999 ,LIEPAJA INTL                    ,56.518,21.097,4.9,01/01/1955,01/02/2023
264160-99999 ,SALDUS                          ,56.683,22.5,112,01/01/1955,01/02/2023
264220-99999 ,RIGA                            ,56.917,23.967,26,02/01/1928,12/12/2021
264290-99999 ,BAUSKA                          ,56.4,24.217,33,01/01/1959,01/02/2023
264350-99999 ,SKRIVERI                        ,56.65,25.133,83,01/01/1955,01/02/2023
264770-99999 ,VELIKIE LUKI                    ,56.35,30.62,106,01/01/1932,01/02/2023
264980-99999 ,RZEV                            ,56.267,34.317,196,01/01/1932,31/12/1997
264990-99999 ,STARITSA                        ,56.5,34.933,186,15/09/2001,01/02/2023
265020-99999 ,PALANGA INTL                    ,55.973,21.094,10.1,01/01/1959,01/02/2023
265021-99999 ,SIAULIAI INTL                   ,55.883,23.383,138,06/01/2004,01/02/2023
265090-99999 ,KLAIPEDA                        ,55.733,21.083,7.3,01/08/1929,01/02/2023
265180-99999 ,LAUKUVA                         ,55.617,22.233,166,01/01/1959,01/02/2023
265240-99999 ,SIAULIAI                        ,55.933,23.317,107,01/01/1955,12/12/2021
265310-99999 ,BIRZAI                          ,56.2,24.767,51.5,01/01/1959,01/02/2023
265440-99999 ,DAUGAVPILS                      ,55.867,26.617,122,01/01/1955,01/02/2023
